_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
2906,4.0,4,43,,4.0,4.0,10/13/2017,4.0,3.0,2.0,3.0,,4.0,4.0,4.0,1.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152645,71.0,4.0,1739  VICTORIA PARK AVE ,4.0,,21,4.0,1958.0,2017.0
2907,3.0,6,85,3.0,4.0,4.0,11/16/2017,4.0,3.0,2.0,2.0,,5.0,3.0,4.0,3.0,18,3.0,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152646,66.0,4.0,1749  VICTORIA PARK AVE ,3.0,,21,3.0,1962.0,2017.0
2908,4.0,3,26,,2.0,3.0,12/18/2018,3.0,4.0,4.0,3.0,,4.0,4.0,3.0,3.0,15,,,PRIVATE,Evaluation needs to be conducted in 1 year,4153064,64.0,3.0,12  LANSDOWNE AVE ,3.0,,04,2.0,1979.0,2017.0
2909,3.0,12,82,4.0,4.0,4.0,10/12/2017,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,17,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153532,73.0,4.0,55  ISABELLA ST ,3.0,,13,4.0,1965.0,2017.0
2910,,4,35,,4.0,3.0,11/09/2017,3.0,3.0,4.0,3.0,,4.0,4.0,3.0,2.0,14,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153534,67.0,4.0,608  CHURCH ST ,3.0,,13,4.0,1910.0,2017.0
2911,3.0,14,82,4.0,4.0,4.0,10/13/2017,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4153546,73.0,4.0,88  ISABELLA ST ,4.0,,13,3.0,1968.0,2017.0
2912,4.0,29,584,4.0,4.0,4.0,01/07/2019,4.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,18,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154037,74.0,4.0,7  CRESCENT PL ,4.0,,19,4.0,1971.0,2017.0
2913,4.0,4,67,4.0,3.0,3.0,12/14/2017,3.0,3.0,3.0,4.0,,5.0,3.0,3.0,3.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154043,68.0,3.0,506  DAWES RD ,4.0,,19,3.0,1958.0,2017.0
2914,3.0,5,127,4.0,3.0,4.0,01/02/2018,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,19,4.0,3.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4154061,78.0,4.0,2701-2703  ST CLAIR AVE E,4.0,,19,4.0,1983.0,2017.0
2915,4.0,4,34,,4.0,4.0,12/13/2018,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154066,79.0,4.0,2892  ST CLAIR AVE E,4.0,,19,4.0,1955.0,2017.0
2916,3.0,3,109,3.0,3.0,3.0,01/03/2018,3.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,18,,3.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4154068,66.0,4.0,850  O'CONNOR DR ,4.0,,19,3.0,1979.0,2017.0
2917,,4,26,,4.0,3.0,03/15/2019,4.0,4.0,3.0,4.0,,5.0,4.0,3.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154564,76.0,4.0,30  COVINGTON RD ,3.0,,08,4.0,1953.0,2017.0
2918,,3,11,,3.0,3.0,02/04/2019,3.0,3.0,4.0,2.0,,5.0,3.0,3.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4154566,64.0,4.0,96  MULHOLLAND AVE ,3.0,,08,3.0,1960.0,2017.0
2919,3.0,3,55,,3.0,4.0,03/12/2019,3.0,3.0,4.0,4.0,,5.0,3.0,2.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154582,69.0,4.0,490  WILSON AVE ,4.0,3.0,06,3.0,1955.0,2017.0
2920,,4,32,,4.0,4.0,03/13/2019,4.0,4.0,4.0,2.0,,5.0,3.0,4.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154933,76.0,4.0,14  TICHESTER RD ,4.0,,12,3.0,1938.0,2017.0
2921,,5,25,,4.0,4.0,10/25/2017,3.0,4.0,4.0,3.0,,5.0,3.0,3.0,3.0,17,3.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154950,69.0,4.0,1550  BATHURST ST ,3.0,3.0,12,4.0,1940.0,2017.0
2922,4.0,6,42,4.0,3.0,3.0,03/13/2019,3.0,3.0,3.0,4.0,,5.0,3.0,3.0,4.0,18,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154953,68.0,4.0,1516  BATHURST ST ,4.0,2.0,12,4.0,1959.0,2017.0
2923,,4,32,,4.0,4.0,02/28/2019,4.0,4.0,4.0,5.0,,5.0,4.0,5.0,4.0,15,,,PRIVATE,Evaluation needs to be conducted in 3 years,4154956,88.0,5.0,101  VAUGHAN RD ,5.0,4.0,12,4.0,1920.0,2017.0
2924,,4,32,,4.0,4.0,02/26/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,3.0,13,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154958,77.0,4.0,125  VAUGHAN RD ,3.0,,12,3.0,1950.0,2017.0
2925,,3,18,,4.0,4.0,02/25/2019,5.0,5.0,4.0,3.0,,5.0,5.0,4.0,4.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155484,83.0,5.0,16  ALBERT AVE ,4.0,,03,4.0,1950.0,2017.0
2926,,4,26,,3.0,3.0,10/24/2017,3.0,4.0,3.0,3.0,,5.0,2.0,4.0,2.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155493,67.0,4.0,2549  LAKE SHORE BLVD W,4.0,,03,4.0,1952.0,2017.0
2927,,3,13,,3.0,3.0,01/28/2019,4.0,3.0,2.0,3.0,,4.0,5.0,3.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4155874,65.0,4.0,5  BIRCHLEA AVE ,3.0,,03,3.0,1955.0,
2928,3.0,14,181,4.0,3.0,4.0,02/01/2019,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,20,4.0,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155879,73.0,3.0,6200  BATHURST ST ,4.0,3.0,06,4.0,1969.0,2017.0
2929,4.0,16,230,4.0,4.0,4.0,11/15/2017,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155883,80.0,4.0,66  PACIFIC AVE ,4.0,,04,4.0,1965.0,2017.0
2930,3.0,3,64,3.0,3.0,3.0,11/28/2017,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,19,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156020,66.0,4.0,11  ROCHEFORT DR ,4.0,,16,3.0,1960.0,2017.0
2931,,3,14,,4.0,4.0,01/17/2019,4.0,3.0,3.0,3.0,,5.0,3.0,3.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156035,72.0,4.0,1463  KINGSTON RD ,3.0,,20,4.0,1940.0,2017.0
2932,,4,36,3.0,4.0,3.0,01/03/2019,4.0,4.0,4.0,3.0,,5.0,3.0,3.0,1.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152655,67.0,3.0,1817  VICTORIA PARK AVE ,3.0,3.0,21,4.0,1959.0,2017.0
2933,4.0,7,92,4.0,4.0,4.0,01/02/2019,4.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152661,73.0,5.0,5  LYNVALLEY CRES ,3.0,,21,4.0,1965.0,2017.0
2934,5.0,6,72,4.0,5.0,4.0,10/12/2017,4.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152662,79.0,4.0,2255  VICTORIA PARK AVE ,3.0,,21,4.0,1964.0,2017.0
2935,,3,18,,3.0,4.0,12/11/2017,4.0,4.0,4.0,3.0,,5.0,4.0,4.0,4.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152668,77.0,4.0,640  KENNEDY RD ,4.0,,20,4.0,1955.0,2019.0
2936,4.0,9,124,4.0,4.0,4.0,12/06/2018,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4152674,81.0,4.0,739  BIRCHMOUNT RD ,4.0,,20,4.0,1963.0,2017.0
2937,4.0,6,65,4.0,4.0,4.0,12/06/2018,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152676,79.0,4.0,829  BIRCHMOUNT RD ,4.0,,20,4.0,1961.0,2017.0
2938,4.0,6,110,4.0,4.0,4.0,12/10/2018,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4152681,80.0,4.0,2233  EGLINTON AVE E,4.0,,20,3.0,1958.0,2017.0
2939,4.0,9,186,3.0,4.0,3.0,12/21/2018,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,19,4.0,4.0,TCHC,Evaluation needs to be conducted in 2 years,4153107,73.0,4.0,1884  DAVENPORT RD ,4.0,,09,4.0,1978.0,2017.0
2940,4.0,9,251,4.0,3.0,3.0,01/12/2018,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,19,5.0,3.0,TCHC,Evaluation needs to be conducted in 2 years,4153559,69.0,3.0,15  SCADDING AVE ,3.0,,10,3.0,1982.0,2017.0
2941,,4,29,3.0,4.0,3.0,01/10/2018,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,18,4.0,4.0,TCHC,Evaluation needs to be conducted in 2 years,4153576,72.0,4.0,859  DUNDAS ST E,4.0,,14,4.0,1973.0,2017.0
2942,,4,38,,4.0,4.0,01/31/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 3 years,4153583,81.0,4.0,317  SHERBOURNE ST ,4.0,,13,4.0,1931.0,2017.0
2943,4.0,22,303,5.0,4.0,4.0,10/16/2017,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154077,74.0,4.0,2  SECORD AVE ,2.0,,19,4.0,1971.0,2017.0
2944,4.0,4,20,,4.0,4.0,12/18/2018,3.0,4.0,3.0,4.0,,5.0,3.0,3.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154079,74.0,4.0,327  CHISHOLM AVE ,3.0,4.0,19,3.0,1962.0,2018.0
2945,4.0,6,200,4.0,3.0,4.0,02/01/2019,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,20,4.0,3.0,TCHC,Evaluation needs to be conducted in 2 years,4154080,76.0,4.0,9  HALDON AVE ,4.0,4.0,19,4.0,1962.0,2017.0
2946,3.0,4,42,,4.0,4.0,11/23/2017,4.0,4.0,4.0,4.0,,5.0,4.0,3.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154084,74.0,3.0,470  MORTIMER AVE ,3.0,3.0,14,4.0,1957.0,2017.0
2947,4.0,14,82,3.0,4.0,5.0,11/02/2017,4.0,4.0,4.0,4.0,,5.0,3.0,4.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154088,77.0,4.0,145  COSBURN AVE ,3.0,4.0,14,4.0,1965.0,2017.0
2948,4.0,6,83,3.0,3.0,4.0,11/08/2017,4.0,3.0,4.0,4.0,,2.0,4.0,4.0,2.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154090,69.0,4.0,165  COSBURN AVE ,4.0,3.0,14,3.0,1950.0,2017.0
2949,3.0,6,40,5.0,3.0,3.0,12/21/2018,3.0,3.0,4.0,3.0,,5.0,4.0,4.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154100,72.0,4.0,250  COSBURN AVE ,4.0,3.0,14,3.0,1927.0,2017.0
2950,4.0,12,153,4.0,3.0,3.0,11/20/2017,5.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154101,69.0,3.0,150  COSBURN AVE ,3.0,3.0,14,4.0,1962.0,2017.0
2951,4.0,6,48,4.0,4.0,3.0,10/31/2017,3.0,4.0,4.0,3.0,,5.0,4.0,4.0,2.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154102,76.0,5.0,130  COSBURN AVE ,3.0,4.0,14,4.0,1956.0,2017.0
2952,,3,11,,4.0,4.0,03/06/2019,4.0,4.0,4.0,3.0,,5.0,5.0,4.0,5.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154585,80.0,3.0,15  ROSSEAU RD ,4.0,3.0,06,4.0,1951.0,2017.0
2953,,3,11,,4.0,4.0,03/06/2019,4.0,5.0,4.0,4.0,,5.0,4.0,4.0,5.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154598,85.0,4.0,10  ROSSEAU RD ,4.0,4.0,06,5.0,1955.0,2017.0
2954,4.0,4,16,,4.0,4.0,02/11/2019,4.0,3.0,4.0,3.0,,5.0,4.0,3.0,4.0,16,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154614,73.0,3.0,1042  SHEPPARD AVE W,3.0,,06,3.0,1950.0,2017.0
2955,,3,24,,3.0,4.0,02/28/2019,4.0,4.0,4.0,3.0,,3.0,5.0,4.0,4.0,14,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154971,76.0,4.0,120  VAUGHAN RD ,4.0,,12,3.0,1929.0,2017.0
2956,,3,46,,4.0,3.0,10/17/2017,3.0,3.0,3.0,3.0,,5.0,3.0,4.0,2.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154979,69.0,4.0,205  VAUGHAN RD ,4.0,,12,3.0,1930.0,2017.0
2957,,4,52,,4.0,3.0,02/19/2019,3.0,4.0,4.0,3.0,,5.0,2.0,3.0,4.0,13,,,PRIVATE,Evaluation needs to be conducted in 2 years,4154988,68.0,2.0,231  VAUGHAN RD ,4.0,,12,3.0,1926.0,2017.0
2958,,4,32,,4.0,4.0,11/02/2017,4.0,4.0,3.0,3.0,,5.0,4.0,4.0,1.0,16,,1.0,PRIVATE,Evaluation needs to be conducted in 2 years,4154991,70.0,3.0,1600  BATHURST ST ,4.0,4.0,12,4.0,1939.0,2017.0
2959,,5,72,5.0,4.0,4.0,03/07/2019,4.0,4.0,3.0,4.0,,5.0,4.0,5.0,4.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4154999,86.0,5.0,1654  BATHURST ST ,5.0,5.0,12,4.0,1950.0,2017.0
2960,,7,146,4.0,4.0,4.0,11/08/2017,4.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,18,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155004,70.0,4.0,989  EGLINTON AVE W,2.0,,12,4.0,1980.0,2017.0
2961,,4,15,,3.0,3.0,03/07/2019,2.0,3.0,3.0,3.0,,5.0,3.0,4.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 1 year,4155506,63.0,3.0,2660  LAKE SHORE BLVD W,3.0,,03,3.0,1960.0,2017.0
2962,3.0,6,60,3.0,4.0,3.0,12/06/2017,4.0,3.0,3.0,3.0,,5.0,4.0,3.0,3.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155513,70.0,4.0,2  ROYAL YORK RD ,3.0,4.0,03,4.0,1967.0,2017.0
2963,4.0,9,148,3.0,3.0,3.0,12/05/2018,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,18,,4.0,TCHC,Evaluation needs to be conducted in 2 years,4155517,74.0,4.0,2835  LAKE SHORE BLVD W,4.0,,03,4.0,1980.0,2017.0
2964,,3,11,,4.0,4.0,03/07/2019,4.0,3.0,3.0,4.0,,5.0,4.0,5.0,5.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155519,80.0,4.0,50  FOURTH ST ,4.0,,03,4.0,1958.0,2017.0
2965,3.0,6,59,5.0,4.0,5.0,03/04/2019,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,5.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4155907,83.0,5.0,99  MARLEE AVE ,4.0,3.0,08,4.0,1960.0,2017.0
2966,,3,35,,4.0,4.0,11/20/2017,4.0,4.0,4.0,4.0,,3.0,4.0,4.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4155916,80.0,4.0,15  THIRTY THIRD ST ,4.0,,03,5.0,1970.0,2017.0
2967,3.0,17,202,4.0,4.0,4.0,01/17/2019,3.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4156071,75.0,4.0,6040  BATHURST ST ,4.0,3.0,06,4.0,1970.0,2017.0
2968,,12,54,3.0,4.0,4.0,12/28/2017,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,17,,4.0,TCHC,Evaluation needs to be conducted in 2 years,4286259,80.0,4.0,127  ST PATRICK ST ,4.0,,10,4.0,1980.0,2017.0
2969,3.0,6,48,3.0,4.0,3.0,01/26/2018,4.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,3.0,18,,3.0,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4156469,66.0,3.0,3379  LAWRENCE AVE E,3.0,,24,4.0,1992.0,2018.0
2970,,3,13,,3.0,3.0,01/28/2019,4.0,3.0,3.0,3.0,,4.0,5.0,3.0,3.0,15,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4506245,68.0,5.0,9  BIRCHLEA AVE ,3.0,,03,3.0,1955.0,
2971,3.0,6,13,5.0,3.0,4.0,04/20/2018,2.0,4.0,4.0,3.0,,5.0,3.0,3.0,3.0,18,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4356415,68.0,4.0,173  STEPHEN DR ,3.0,3.0,03,2.0,1954.0,2018.0
2972,,4,15,,2.0,2.0,12/13/2018,3.0,3.0,3.0,3.0,,3.0,1.0,2.0,3.0,14,,3.0,PRIVATE,Building Audit,4442561,50.0,2.0,17  PATON RD ,2.0,,09,3.0,,
2973,,4,22,5.0,5.0,5.0,01/24/2019,5.0,5.0,4.0,5.0,,5.0,4.0,5.0,5.0,18,5.0,5.0,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4462209,96.0,4.0,3738  ST CLAIR AVE E,5.0,5.0,20,5.0,1953.0,2019.0
2974,,3,11,,3.0,4.0,08/10/2018,4.0,4.0,4.0,4.0,,5.0,3.0,4.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4418699,75.0,3.0,7  ROSSEAU RD ,3.0,4.0,06,4.0,1955.0,
2975,,3,30,,4.0,4.0,01/09/2019,3.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4415827,79.0,4.0,438  JARVIS ST ,4.0,,13,4.0,1928.0,2018.0
2976,,8,46,4.0,4.0,4.0,04/18/2018,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,17,4.0,,PRIVATE,Evaluation needs to be conducted in 2 years,4356202,78.0,4.0,36  SPENCER AVE ,4.0,,04,4.0,2017.0,2018.0
2977,4.0,32,163,4.0,3.0,3.0,12/11/2017,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,19,4.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4284996,68.0,4.0,60  PLEASANT BLVD ,3.0,,12,3.0,1969.0,2017.0
2978,3.0,13,128,4.0,3.0,4.0,12/18/2018,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,18,,,PRIVATE,Evaluation needs to be conducted in 2 years,4232592,78.0,5.0,53  WARRENDER AVE ,4.0,3.0,02,4.0,1971.0,2017.0
2979,,12,145,4.0,4.0,4.0,01/04/2018,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,17,4.0,,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4288472,81.0,4.0,75  COOPERAGE ST ,4.0,,13,4.0,2016.0,2018.0
2980,4.0,14,246,4.0,4.0,4.0,12/18/2018,4.0,3.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,19,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4221285,74.0,4.0,390  DAWES RD ,3.0,4.0,19,4.0,1970.0,2017.0
2981,,18,139,3.0,4.0,5.0,12/13/2017,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4293577,79.0,4.0,57  WIDDICOMBE HILL BLVD ,4.0,,02,4.0,1975.0,2018.0
2982,,10,108,4.0,4.0,4.0,01/04/2018,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,17,5.0,,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4283407,81.0,4.0,20  PALACE ST ,4.0,,13,4.0,,2019.0
2983,,8,95,5.0,5.0,5.0,10/19/2017,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,17,5.0,5.0,PRIVATE,Evaluation needs to be conducted in 3 years,4242360,93.0,4.0,1544  DUNDAS ST W,4.0,,09,5.0,2016.0,2017.0
2984,3.0,18,371,3.0,3.0,3.0,12/20/2018,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,18,,2.0,PRIVATE,Evaluation needs to be conducted in 1 year,4270720,59.0,3.0,103  WEST LODGE AVE ,3.0,,04,3.0,1965.0,2018.0
2985,4.0,29,587,4.0,4.0,4.0,01/07/2019,4.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,18,,2.0,PRIVATE,Evaluation needs to be conducted in 2 years,4284986,74.0,4.0,9  CRESCENT PL ,4.0,,19,4.0,1971.0,2017.0
2986,,3,17,,4.0,4.0,02/20/2019,4.0,4.0,4.0,4.0,,5.0,4.0,5.0,4.0,15,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4287729,83.0,4.0,470  SUMMERHILL AVE ,4.0,,11,4.0,1952.0,2018.0
2987,2.0,26,284,4.0,4.0,4.0,01/02/2018,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,20,3.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4264085,70.0,4.0,25  WOOD ST ,3.0,3.0,13,4.0,1979.0,2017.0
2988,,3,30,,4.0,4.0,01/02/2019,3.0,3.0,3.0,3.0,,5.0,2.0,3.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4264285,66.0,3.0,561  JARVIS ST ,3.0,,13,3.0,1900.0,2017.0
2989,4.0,4,35,,3.0,4.0,11/16/2017,3.0,3.0,4.0,3.0,,4.0,3.0,3.0,3.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4250538,66.0,4.0,414  JARVIS ST ,3.0,,13,3.0,1960.0,2017.0
2990,4.0,6,64,3.0,3.0,4.0,12/15/2017,3.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,20,3.0,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4250549,69.0,3.0,980  LAWRENCE AVE E,4.0,3.0,16,3.0,1958.0,2017.0
2991,,4,32,,4.0,4.0,03/13/2019,3.0,4.0,4.0,3.0,,5.0,3.0,4.0,4.0,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4250612,76.0,5.0,1539  BATHURST ST ,4.0,3.0,12,4.0,1943.0,2017.0
2992,,3,24,,4.0,4.0,02/01/2019,4.0,4.0,4.0,2.0,,5.0,4.0,3.0,3.0,15,,,PRIVATE,Evaluation needs to be conducted in 2 years,4250634,71.0,3.0,2367  QUEEN ST E,3.0,4.0,19,3.0,1925.0,2018.0
2993,3.0,6,59,3.0,3.0,4.0,12/08/2017,3.0,3.0,3.0,3.0,,5.0,3.0,4.0,4.0,17,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4289046,71.0,4.0,495  THE WEST MALL  ,4.0,,02,4.0,1962.0,2018.0
2994,,3,11,,3.0,3.0,03/07/2018,4.0,3.0,3.0,3.0,,5.0,3.0,3.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4329043,66.0,3.0,24  ROSSEAU RD ,3.0,3.0,06,4.0,1949.0,2018.0
2995,5.0,7,97,5.0,4.0,4.0,02/13/2019,4.0,4.0,4.0,4.0,,5.0,5.0,4.0,3.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4244923,84.0,4.0,60  ESTHER LORRIE DR ,5.0,4.0,01,4.0,1963.0,2017.0
2996,4.0,30,251,4.0,4.0,5.0,10/24/2017,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,19,5.0,4.0,PRIVATE,Evaluation needs to be conducted in 3 years,4244932,85.0,5.0,310  TWEEDSMUIR AVE ,4.0,4.0,12,4.0,2015.0,2017.0
2997,,3,11,,3.0,3.0,03/05/2019,4.0,3.0,4.0,3.0,,5.0,3.0,3.0,4.0,16,,3.0,PRIVATE,Evaluation needs to be conducted in 2 years,4327367,68.0,3.0,12  ROSSEAU RD ,3.0,3.0,06,4.0,1949.0,2018.0
2998,,14,66,4.0,3.0,4.0,10/12/2017,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,18,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4233372,77.0,4.0,20  HOLLY ST ,3.0,4.0,12,4.0,1975.0,2017.0
2999,3.0,3,27,,3.0,4.0,01/31/2019,3.0,4.0,4.0,3.0,,5.0,3.0,2.0,3.0,17,,4.0,PRIVATE,Evaluation needs to be conducted in 2 years,4288796,68.0,3.0,2327  QUEEN ST E,4.0,3.0,19,4.0,1920.0,2017.0
3000,,3,23,,3.0,3.0,03/08/2019,4.0,4.0,4.0,3.0,,5.0,3.0,3.0,4.0,14,,,PRIVATE,Evaluation needs to be conducted in 2 years,4288799,71.0,4.0,2393  QUEEN ST E,3.0,,19,4.0,1920.0,2017.0
3001,4.0,21,117,4.0,4.0,3.0,03/13/2019,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,20,4.0,5.0,PRIVATE,Evaluation needs to be conducted in 2 years,4168793,80.0,4.0,25  CANYON AVE ,3.0,3.0,06,4.0,1962.0,2017.0
